#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
211;J0426+4933;04:26:06.8;+49:33:38.4;154.436;0.288;0.922475;1.084041;84.30;*;*;
212;J0427+4723;04:27:51.4;+47:23:01.8;156.202;-1.017;2.158436;0.463298;54.00;*;*;
213;J0435+2749;04:35:51.8;+27:49:01.7;171.842;-13.071;0.326279;3.064857;53.19;*;*;
214;J0437-4715;04:37:16.0;-47:15:10.0;253.395;-41.963;0.005757;173.687946;2.65;T2;GRS:4FGL_J0437.2-4715[aab+22],OPT:[bbm+9;
215;J0447+2447;04:47:07.8;+24:47:50.2;175.883;-13.050;0.002995;333.858342;32.91;*;*;
216;J0447-04;04:47;-04:35;202.072;-29.657;2.188190;0.456999;29.83;*;*;
217;J0448-2749;04:48:41.5;-27:49:46.7;228.347;-37.918;0.450448;2.220010;26.17;*;*;
218;J0449-7031;04:49:05.6;-70:31:31.7;282.286;-35.512;0.479164;2.086968;65.83;*;EXGAL:LMC;
219;J0450-1248;04:50:08.8;-12:48:07.1;211.075;-32.629;0.438014;2.283031;37.27;*;*;
220;J0451-67;04:51:50;-67:18;278.410;-36.290;0.245454;4.074078;45.00;*;EXGAL:LMC;
221;J0452-1759;04:52:34.1;-17:59:23.6;217.078;-34.087;0.548944;1.821679;39.69;*;*;
222;J0452-3418;04:52:00.7;-34:18:42;236.613;-38.535;1.665119;0.600558;19.78;*;*;
223;J0453+1559;04:53:45.4;+15:59:21.3;184.125;-17.137;0.045782;21.842733;30.30;DDH;*;
